AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.308,50458,2021,20210425
0.250,4,4,1,1,0,0,0,2,0,0,0,0,1,0,0.302,50458,2021,20210427
0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.304,50458,2021,20210428
0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.292,50458,2021,20210429
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,50458,2021,20210430
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,50458,2021,20210501
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,50458,2021,20210502
0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.28600000000000003,50458,2021,20210505
-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.28600000000000003,50458,2021,20210507
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28600000000000003,50458,2021,20210508
0.000,4,3,1,0,0,0,0,0,0,0,1,0,2,0,0.26899999999999996,50458,2021,20210509
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26899999999999996,50458,2021,20210511
0.500,4,2,2,1,0,0,0,1,2,0,1,0,0,0,0.278,50458,2021,20210512
0.333,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0.281,50458,2021,20210513
0.250,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0.27899999999999997,50458,2021,20210514
0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.266,50458,2021,20210515
-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.266,50458,2021,20210517
0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.25,50458,2021,20210518
-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,50458,2021,20210519
0.333,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0.254,50458,2021,20210521
0.000,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0.25,50458,2021,20210522
0.500,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0.263,50458,2021,20210523
0.000,5,4,2,0,0,0,0,0,0,0,1,0,0,0,0.25,50458,2021,20210526
0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.25,50458,2021,20210527
1.000,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0.276,50458,2021,20210528
0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.272,50458,2021,20210529
0.000,3,2,1,0,0,0,0,0,2,0,1,0,0,0,0.266,50458,2021,20210530
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.255,50458,2021,20210601
0.167,6,6,1,1,0,0,1,2,0,0,0,0,2,0,0.25,50458,2021,20210602
0.500,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0.259,50458,2021,20210604
0.000,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0.255,50458,2021,20210606
0.500,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0.263,50458,2021,20210608
0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.259,50458,2021,20210609
0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,50458,2021,20210610
0.000,3,2,0,0,0,0,0,0,1,1,1,0,1,0,0.24600000000000002,50458,2021,20210611
0.250,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0.24600000000000002,50458,2021,20210615
0.667,4,3,1,2,0,0,0,0,0,0,0,0,1,0,0.256,50458,2021,20210616
0.667,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0.265,50458,2021,20210617
